location,depth_cm,ammonia_mg_l,nitrite_mg_l,nitrate_mg_l,reactive_phosphate_mg_l,conductivity_microS_cm,dissolved_oxygen_mg_l,pH,temperature_C,month
3,50,0.04,0.07,0.43,0.21,156,7.33,8.21,29,March
3,100,0.06,0.07,0.41,0.21,178,7.33,8.14,28.8,March
3,150,0.08,0.11,0.35,0.23,188,7.23,8.11,28.6,March
3,200,0.08,0.13,0.32,0.25,210,7.11,7.82,28.7,March
3,250,0.08,0.15,0.3,0.27,224,5.53,7.71,28.3,March
3,300,0.09,0.15,0.27,0.27,252,5.1,7.5,27.9,March
3,350,0.11,0.19,0.27,0.33,267,4.61,7.44,27.8,March
3,400,0.11,0.19,0.27,0.36,277,3.23,7.44,27.8,March
3,450,0.11,0.22,0.22,0.36,282,3.11,7.44,27.6,March
3,500,0.11,0.23,0.18,0.36,289,2.71,7.41,27.6,March
3,550,0.15,0.27,0.17,0.36,287,2.21,7.37,27.6,March
3,600,0.19,0.32,0.11,0.42,296,0.31,7.37,27.3,March
3,650,0.5,0.41,0.1,0.51,345,0.14,7.37,27.3,March
3,700,0.59,0.47,0.1,0.66,372,0.1,7.12,27.1,March
3,750,0.61,0.51,0.04,1.23,386,0.05,7.11,27.1,March
3,800,0.72,0.53,0.03,1.97,392,0.05,7.03,27.1,March
1,0,0.05,0.1,0.49,0.21,254,7.95,8.05,29,May
1,50,0.05,0.14,0.37,0.21,261,6.64,8.05,28.6,May
1,100,0.05,0.17,0.35,0.22,271,6.24,8,28.2,May
1,150,0.05,0.21,0.25,0.24,276,6.1,8,28.1,May
1,200,0.05,0.24,0.25,0.24,289,5.47,7.95,28.1,May
1,250,0.05,0.27,0.25,0.26,294,4.91,7.9,28.1,May
1,300,0.05,0.35,0.25,0.3,311,4.46,7.72,28.1,May
1,350,0.07,0.38,0.25,0.31,326,4.31,7.61,27.8,May
1,400,0.07,0.48,0.22,0.31,333,3.84,7.52,27.8,May
1,450,0.12,0.7,0.17,0.31,347,2.35,7.35,27.6,May
1,500,0.23,0.91,0.1,0.31,355,0.1,7.3,27.5,May
1,550,0.3,1.1,0.08,1.05,364,0.1,7.27,27.3,May
1,600,0.3,1.3,0.05,1.38,436,0.1,7.21,27,May
2,0,0.06,0.08,0.45,0.24,255,7.84,8.01,29.1,May
2,50,0.06,0.12,0.35,0.24,262,6.51,8.01,28.4,May
2,100,0.06,0.15,0.35,0.25,275,6.14,8.01,28.4,May
2,150,0.05,0.2,0.21,0.28,276,6.11,8.01,28.4,May
2,200,0.05,0.22,0.23,0.31,289,5.55,7.92,28.4,May
